name,organization,city,country,type,start_date,end_date,link
Bahrain International Series 2023,BWF - Bahrain Badminton Federation,Manama,Bahrain,International Series,11/14/2023,11/19/2023,/sport/tournament?id=9BB4AD03-EC30-45DA-B03E-BEA07B463D01
Kumamoto Masters Japan 2023,Badminton World Federation,Kumamoto,Japan,HSBC BWF World Tour Super 500,11/14/2023,11/19/2023,/sport/tournament?id=A1D5007B-9E91-46BC-B9C7-5C72487AC285
PETRONAS Malaysia International Challenge 2023,BWF - Badminton Association of Malaysia,Ipoh,Malaysia,International Challenge,11/14/2023,11/19/2023,/sport/tournament?id=6A8D91E9-70EA-4103-9594-CCD6C7E66AEA
AIG FZ FORZA Irish Open 2023,Badminton Union of Ireland,Dublin,Ireland,International Challenge,11/15/2023,11/18/2023,/sport/tournament?id=0225F8AC-BDB7-4956-8031-B6CD9F1F37FB
XIV Suriname International Badminton Tournament 2023,BWF - Surinaamse Badminton Bond,Paramaribo,Suriname,International Series,11/15/2023,11/19/2023,/sport/tournament?id=7E8F7E34-EBCD-4767-A689-4312B98841CC
Zambia International 2023,BWF - Botswana Badminton Association,Lusaka,Zambia,International Series,11/16/2023,11/19/2023,/sport/tournament?id=A3B5FCFC-8B3E-49FC-B082-F1E97A03938F
Czech Junior International Orlová 2023,BWF - Czech Badminton Federation,Orlova,Czech Republic,Junior International Series,11/17/2023,11/19/2023,/sport/tournament?id=A6E3198A-427B-4CDD-B145-0D8846E8BBB3
Spanish International U17 2023,BWF - Federación Española de Bádminton,Blanca Dona,Spain,,11/17/2023,11/19/2023,/sport/tournament?id=1AC7551B-427E-4C95-A3F6-683BBA99F5CD
Swedish Youth Games 2023,BWF - Swedish Badminton Association,Malmö,Sweden,,11/17/2023,11/19/2023,/sport/tournament?id=0AD800B8-3EFD-4496-87A5-D11EEE5527C4
Bahrain International Challenge 2023,BWF - Bahrain Badminton Federation,Manama,Bahrain,International Challenge,11/21/2023,11/26/2023,/sport/tournament?id=77FE36AF-BC80-4F21-A016-A5C7E3F1A934
LI-NING China Masters 2023,Badminton World Federation,Shenzhen,China,HSBC BWF World Tour Super 750,11/21/2023,11/26/2023,/sport/tournament?id=881CF019-F35B-4DE1-AC27-ED5622688895
XIV Mexican International 2023,BWF - Federacion Mexicana de Badminton,Tijuana,Mexico,,11/21/2023,11/26/2023,/sport/tournament?id=1A9F580D-0616-4004-98B0-05A1A5486AAA
Slovenia International Series 2023 (Cancelled),Badminton Europe,Ljubljana,Slovenia,International Series,11/22/2023,11/26/2023,/sport/tournament?id=2C74EBA1-2F3B-417F-9011-8F46D8338250
Botswana International 2023,BWF - Botswana Badminton Association,Gaborone,Botswana,Future Series,11/23/2023,11/26/2023,/sport/tournament?id=539D3DB2-490D-4E2E-8E47-E799D2EB7954
III U17 Portugal Open 2023,BWF - Portugal Badminton Federation,Caldas da Rainha,Portugal,,11/24/2023,11/26/2023,/sport/tournament?id=E14413E1-731D-490C-8E00-BB742411179B
Slovak Junior 2023,BWF - Slovak Badminton Federation,Trencin,Slovakia,,11/24/2023,11/26/2023,/sport/tournament?id=A1D3F466-C8A2-4302-910D-458922D4A525
WONCHEON YONEX Korea Junior International Challenge 2023,BWF - Badminton Korea Association,Miryang,Korea,Junior International Challenge,11/27/2023,12/3/2023,/sport/tournament?id=60E566E8-8C3D-4633-BFA9-A62A729D259F
YONEX Welsh International Badminton Championships 2023,BWF - Badminton Wales,Cardiff,Wales,International Challenge,11/28/2023,12/2/2023,/sport/tournament?id=3D98365A-5A77-4427-8455-49A0BE2018F7
Syed Modi India International 2023,Badminton World Federation,Lucknow,India,HSBC BWF World Tour Super 300,11/28/2023,12/3/2023,/sport/tournament?id=D49F84F0-BB0A-4C34-BB76-FD6809B331FD
V El Salvador International 2023,BWF - Federacion Salvadorena de Badminton,San Salvador,El Salvador,International Challenge,11/28/2023,12/3/2023,/sport/tournament?id=F98D311A-D418-42AE-BF09-EE8716845DC4
South Africa International 2023,Badminton Confederation of Africa,Cape Town,South Africa,Future Series,11/30/2023,12/3/2023,/sport/tournament?id=A4EFAB56-80C3-4236-AE5F-786072D603AA
LI-NING Medvode Cup U17 2023,BWF - Slovenia Badminton Federation,Medvode,Slovenia,,12/1/2023,12/3/2023,/sport/tournament?id=76D1D7A7-D0C3-44DD-A4EA-3A4CE4971471
XV Portugal Junior International 2023,BWF - Portugal Badminton Federation,Caldas da Rainha,Portugal,Junior International Series,12/1/2023,12/3/2023,/sport/tournament?id=8CE1EA96-08FC-496F-BBB8-16DF82E438F7
South Africa Junior International 2023,BWF - Badminton South Africa,Cape Town,South Africa,Junior Future Series,12/4/2023,12/6/2023,/sport/tournament?id=D3C7BBFE-5D2B-43E8-BE10-46331D19B197
2023 YONEX Canadian International Challenge,BWF - Badminton Canada,Markham,Canada,International Challenge,12/5/2023,12/10/2023,/sport/tournament?id=856032E5-94E5-43B3-80C0-1F4E04393281
BAT YONEX Pathumthani Junior International Series 2023,BWF - Badminton Association of Thailand,Pathum Thani,Thailand,,12/5/2023,12/10/2023,/sport/tournament?id=18E3F9E4-73B2-4482-9C0B-0D8976F2C850
YONEX-SUNRISE Guwahati Masters 2023,Badminton World Federation,Assam,India,BWF Tour Super 100,12/5/2023,12/10/2023,/sport/tournament?id=B2309B69-9D99-416C-94F3-99A5C6D14723
2024 European Men's & Women's Team Championships Qualification - Spain,Badminton Europe,Madrid,Spain,,12/6/2023,12/8/2023,/sport/tournament?id=42221770-A56E-4DB4-AA45-25106EDE268B
YONEX SUNRISE Bangladesh International Challenge 2023 (Cancelled),BWF - Badminton Asia Confederation,Dhaka,Bangladesh,International Challenge,12/6/2023,12/10/2023,/sport/tournament?id=D5304CCC-2B16-4FEC-A314-22C936AC6951
APACS Kazakhstan International Series 2023,BWF - Republic of Kazahkstan,Shymkent,Kazakhstan,International Series,12/6/2023,12/10/2023,/sport/tournament?id=CB272C18-AFDA-4542-901F-3AE81F758E65
2024 European Men's & Women's Team Championships Qualification - Azerbaijan,Badminton Europe,Khirdalan,Azerbaijan,,12/7/2023,12/9/2023,/sport/tournament?id=6B456977-BB93-433A-9697-63E03568E45B
2024 European Men's & Women's Team Championships Qualification - Bulgaria,Badminton Europe,Sofia,Bulgaria,,12/7/2023,12/10/2023,/sport/tournament?id=8C885C34-CC76-4678-95C3-9F31B3246D3F
2024 European Men's & Women's Team Championships Qualification - Czech Republic,Badminton Europe,Prague,Czech Republic,,12/7/2023,12/10/2023,/sport/tournament?id=4AC88326-4020-4B57-935A-EFB6673B5328
2024 European Men's & Women's Team Championships Qualification - England,Badminton Europe,Milton Keynes,England,,12/7/2023,12/10/2023,/sport/tournament?id=799E1338-94B7-47A1-94DB-7AAAE5BB63FA
2024 European Men's & Women's Team Championships Qualification – France,Badminton Europe,Aire sur la Lys,France,,12/7/2023,12/10/2023,/sport/tournament?id=7F49F2F3-CCF5-4399-AB96-D025FD141722
2024 European Men's & Women's Team Championships Qualification - Netherlands,Badminton Europe,Arnhem,Netherlands,,12/7/2023,12/10/2023,/sport/tournament?id=B285D75F-E272-47E6-BECF-5D2341278A3F
2024 European Men's & Women's Team Championships Qualification - Germany,Badminton Europe,Bad Camberg,Germany,,12/8/2023,12/10/2023,/sport/tournament?id=5523CA98-8A66-4657-B787-4BC8A98BD79E
YONEX Estonian Junior 2023,BWF - Badminton Estonia,Tartu,Estonia,,12/8/2023,12/10/2023,/sport/tournament?id=3F6F757C-C03D-4430-9FD2-5D9D9723155D
YONEX Estonian U17 International 2023,BWF - Badminton Estonia,Tartu,Estonia,,12/8/2023,12/10/2023,/sport/tournament?id=D7142F06-A134-4E80-B8A5-00A54182318A
YONEX SUNRISE Bangladesh Junior International Series  2023 (Cancelled),BWF - Badminton Asia Confederation,Dhaka,Bangladesh,Junior International Series,12/11/2023,12/13/2023,/sport/tournament?id=C8D3AB9F-3F30-4B67-9298-46C9C761C945
